 Line  Address  Opcode               Disassembly              

     1   000     0000  NOP                                    
     2   001     0000  NOP                                    
     3   002     2996  GOTO 0x196                             
     4   003     3FFF                                         
     5   004     00F0  MOVWF 0x70                             
     6   005     0E03  SWAPF 0x3, W                           
     7   006     00F1  MOVWF 0x71                             
     8   007     080A  MOVF 0xa, W                            
     9   008     00F2  MOVWF 0x72                             
    10   009     0821  MOVF 0x21, W                           
    11   00A     00F3  MOVWF 0x73                             
    12   00B     0822  MOVF 0x22, W                           
    13   00C     00F4  MOVWF 0x74                             
    14   00D     1283  BCF 0x3, 0x5                           
    15   00E     1303  BCF 0x3, 0x6                           
    16   00F     1D0B  BTFSS 0xb, 0x2                         
    17   010     2818  GOTO 0x18                              
    18   011     110B  BCF 0xb, 0x2                           
    19   012     3088  MOVLW 0x88                             
    20   013     0081  MOVWF 0x1                              
    21   014     08A0  MOVF 0x20, F                           
    22   015     1D03  BTFSS 0x3, 0x2                         
    23   016     03A0  DECF 0x20, F                           
    24   017     2072  CALL 0x72                              
    25   018     1A8C  BTFSC 0xc, 0x5                         
    26   019     2102  CALL 0x102                             
    27   01A     0873  MOVF 0x73, W                           
    28   01B     00A1  MOVWF 0x21                             
    29   01C     0874  MOVF 0x74, W                           
    30   01D     00A2  MOVWF 0x22                             
    31   01E     0872  MOVF 0x72, W                           
    32   01F     008A  MOVWF 0xa                              
    33   020     0E71  SWAPF 0x71, W                          
    34   021     0083  MOVWF 0x3                              
    35   022     0EF0  SWAPF 0x70, F                          
    36   023     0E70  SWAPF 0x70, W                          
    37   024     0009  RETFIE                                 
    38   025     390F  ANDLW 0xf                              
    39   026     0782  ADDWF 0x2, F                           
    40   027     342B  RETLW 0x2b                             
    41   028     3433  RETLW 0x33                             
    42   029     343B  RETLW 0x3b                             
    43   02A     342B  RETLW 0x2b                             
    44   02B     3433  RETLW 0x33                             
    45   02C     343B  RETLW 0x3b                             
    46   02D     342B  RETLW 0x2b                             
    47   02E     3433  RETLW 0x33                             
    48   02F     343B  RETLW 0x3b                             
    49   030     342B  RETLW 0x2b                             
    50   031     3433  RETLW 0x33                             
    51   032     343B  RETLW 0x3b                             
    52   033     342B  RETLW 0x2b                             
    53   034     342B  RETLW 0x2b                             
    54   035     342B  RETLW 0x2b                             
    55   036     342B  RETLW 0x2b                             
    56   037     01C3  CLRF 0x43                              
    57   038     01C4  CLRF 0x44                              
    58   039     01C5  CLRF 0x45                              
    59   03A     01C6  CLRF 0x46                              
    60   03B     01C7  CLRF 0x47                              
    61   03C     01C8  CLRF 0x48                              
    62   03D     01C9  CLRF 0x49                              
    63   03E     01CA  CLRF 0x4a                              
    64   03F     01CB  CLRF 0x4b                              
    65   040     01CC  CLRF 0x4c                              
    66   041     01CD  CLRF 0x4d                              
    67   042     01CE  CLRF 0x4e                              
    68   043     01CF  CLRF 0x4f                              
    69   044     01D0  CLRF 0x50                              
    70   045     01D1  CLRF 0x51                              
    71   046     01D2  CLRF 0x52                              
    72   047     01D3  CLRF 0x53                              
    73   048     01D4  CLRF 0x54                              
    74   049     01D5  CLRF 0x55                              
    75   04A     01D6  CLRF 0x56                              
    76   04B     01D7  CLRF 0x57                              
    77   04C     01D8  CLRF 0x58                              
    78   04D     01D9  CLRF 0x59                              
    79   04E     01DA  CLRF 0x5a                              
    80   04F     3000  MOVLW 0                                
    81   050     00AB  MOVWF 0x2b                             
    82   051     00B3  MOVWF 0x33                             
    83   052     00BB  MOVWF 0x3b                             
    84   053     3001  MOVLW 0x1                              
    85   054     00AC  MOVWF 0x2c                             
    86   055     00B4  MOVWF 0x34                             
    87   056     00BC  MOVWF 0x3c                             
    88   057     3002  MOVLW 0x2                              
    89   058     00AD  MOVWF 0x2d                             
    90   059     00B5  MOVWF 0x35                             
    91   05A     00BD  MOVWF 0x3d                             
    92   05B     3004  MOVLW 0x4                              
    93   05C     00AE  MOVWF 0x2e                             
    94   05D     00B6  MOVWF 0x36                             
    95   05E     00BE  MOVWF 0x3e                             
    96   05F     3008  MOVLW 0x8                              
    97   060     00AF  MOVWF 0x2f                             
    98   061     00B7  MOVWF 0x37                             
    99   062     00BF  MOVWF 0x3f                             
   100   063     3010  MOVLW 0x10                             
   101   064     00B0  MOVWF 0x30                             
   102   065     00B8  MOVWF 0x38                             
   103   066     00C0  MOVWF 0x40                             
   104   067     3020  MOVLW 0x20                             
   105   068     00B1  MOVWF 0x31                             
   106   069     00B9  MOVWF 0x39                             
   107   06A     00C1  MOVWF 0x41                             
   108   06B     3040  MOVLW 0x40                             
   109   06C     00B2  MOVWF 0x32                             
   110   06D     00BA  MOVWF 0x3a                             
   111   06E     00C2  MOVWF 0x42                             
   112   06F     01DB  CLRF 0x5b                              
   113   070     01DC  CLRF 0x5c                              
   114   071     0008  RETURN                                 
   115   072     0000  NOP                                    
   116   073     085B  MOVF 0x5b, W                           
   117   074     00DC  MOVWF 0x5c                             
   118   075     1383  BCF 0x3, 0x7                           
   119   076     3043  MOVLW 0x43                             
   120   077     0084  MOVWF 0x4                              
   121   078     0800  MOVF 0, W                              
   122   079     025C  SUBWF 0x5c, W                          
   123   07A     1C03  BTFSS 0x3, 0                           
   124   07B     1405  BSF 0x5, 0                             
   125   07C     1803  BTFSC 0x3, 0                           
   126   07D     1005  BCF 0x5, 0                             
   127   07E     0A84  INCF 0x4, F                            
   128   07F     0800  MOVF 0, W                              
   129   080     025C  SUBWF 0x5c, W                          
   130   081     1C03  BTFSS 0x3, 0                           
   131   082     1505  BSF 0x5, 0x2                           
   132   083     1803  BTFSC 0x3, 0                           
   133   084     1105  BCF 0x5, 0x2                           
   134   085     0A84  INCF 0x4, F                            
   135   086     0800  MOVF 0, W                              
   136   087     025C  SUBWF 0x5c, W                          
   137   088     1C03  BTFSS 0x3, 0                           
   138   089     1485  BSF 0x5, 0x1                           
   139   08A     1803  BTFSC 0x3, 0                           
   140   08B     1085  BCF 0x5, 0x1                           
   141   08C     0A84  INCF 0x4, F                            
   142   08D     3010  MOVLW 0x10                             
   143   08E     02DC  SUBWF 0x5c, F                          
   144   08F     303F  MOVLW 0x3f                             
   145   090     05DC  ANDWF 0x5c, F                          
   146   091     0800  MOVF 0, W                              
   147   092     025C  SUBWF 0x5c, W                          
   148   093     1C03  BTFSS 0x3, 0                           
   149   094     1685  BSF 0x5, 0x5                           
   150   095     1803  BTFSC 0x3, 0                           
   151   096     1285  BCF 0x5, 0x5                           
   152   097     0A84  INCF 0x4, F                            
   153   098     0800  MOVF 0, W                              
   154   099     025C  SUBWF 0x5c, W                          
   155   09A     1C03  BTFSS 0x3, 0                           
   156   09B     1605  BSF 0x5, 0x4                           
   157   09C     1803  BTFSC 0x3, 0                           
   158   09D     1205  BCF 0x5, 0x4                           
   159   09E     0A84  INCF 0x4, F                            
   160   09F     0800  MOVF 0, W                              
   161   0A0     025C  SUBWF 0x5c, W                          
   162   0A1     1C03  BTFSS 0x3, 0                           
   163   0A2     1585  BSF 0x5, 0x3                           
   164   0A3     1803  BTFSC 0x3, 0                           
   165   0A4     1185  BCF 0x5, 0x3                           
   166   0A5     0A84  INCF 0x4, F                            
   167   0A6     3010  MOVLW 0x10                             
   168   0A7     02DC  SUBWF 0x5c, F                          
   169   0A8     303F  MOVLW 0x3f                             
   170   0A9     05DC  ANDWF 0x5c, F                          
   171   0AA     0800  MOVF 0, W                              
   172   0AB     025C  SUBWF 0x5c, W                          
   173   0AC     1C03  BTFSS 0x3, 0                           
   174   0AD     1407  BSF 0x7, 0                             
   175   0AE     1803  BTFSC 0x3, 0                           
   176   0AF     1007  BCF 0x7, 0                             
   177   0B0     0A84  INCF 0x4, F                            
   178   0B1     0800  MOVF 0, W                              
   179   0B2     025C  SUBWF 0x5c, W                          
   180   0B3     1C03  BTFSS 0x3, 0                           
   181   0B4     1607  BSF 0x7, 0x4                           
   182   0B5     1803  BTFSC 0x3, 0                           
